ticker,check,statistic,observed,lower,upper,inside
AIZ,prior,q99_pct,3.480284363031387,0.48219812078311164,9.325640916818948,True
AIZ,prior,max_drawdown_pct,-12.572133596410207,-70.82048943965566,-1.2993932549424958,True
AIZ,posterior,mean_pct,0.121384394176971,-0.15224299618218828,0.39804619833797544,True
AIZ,posterior,volatility_pct,1.3975277114605758,1.1202851023565168,2.986624833918823,True
AIZ,posterior,q01_pct,-3.203540742397308,-8.244072040311302,-2.319220127699343,True
AIZ,posterior,q99_pct,3.480284363031387,2.5149035377937285,8.721760965596662,True
AIZ,posterior,max_drawdown_pct,-12.572133596410207,-47.80094263146561,-5.486823714975037,True
AJG,prior,mean_pct,-0.028591164080182807,-0.4201175714783537,0.45522948229509874,True
AJG,prior,volatility_pct,1.9157099884611613,0.2123767568645578,3.757111558008844,True
AJG,prior,q01_pct,-4.936673417687416,-9.347358394033476,-0.45114083776124775,True
AJG,prior,q99_pct,4.3300982750952235,0.48219812078311164,9.325640916818948,True
AJG,prior,max_drawdown_pct,-37.806466359225354,-70.82048943965566,-1.2993932549424958,True
AJG,posterior,mean_pct,-0.028591164080182807,-0.43266403239197504,0.39783687765349396,True
AJG,posterior,volatility_pct,1.9157099884611613,1.5437742145871889,2.937803833236055,True
AJG,posterior,q01_pct,-4.936673417687416,-8.94213658521161,-3.3353087658869893,True
AJG,posterior,q99_pct,4.3300982750952235,3.384063784621353,8.633465677434879,True
AJG,posterior,max_drawdown_pct,-37.806466359225354,-71.85780883028434,-11.498559706370216,True
AKAM,prior,mean_pct,0.18012943467056175,-0.4201175714783537,0.45522948229509874,True
AKAM,prior,volatility_pct,3.660923522749362,0.2123767568645578,3.757111558008844,True
AKAM,prior,q01_pct,-6.574304439127446,-9.347358394033476,-0.45114083776124775,True
AKAM,prior,q99_pct,11.039923876523963,0.48219812078311164,9.325640916818948,False
AKAM,prior,max_drawdown_pct,-34.78342025281852,-70.82048943965566,-1.2993932549424958,True
AKAM,posterior,mean_pct,0.18012943467056175,-0.570196747163318,0.43812613874020045,True
AKAM,posterior,volatility_pct,3.660923522749362,2.0700369208427114,2.9058728747992624,False
AKAM,posterior,q01_pct,-6.574304439127446,-9.382177254048564,-4.395490965268133,True
AKAM,posterior,q99_pct,11.039923876523963,4.43603748149188,9.224080625353224,False
AKAM,posterior,max_drawdown_pct,-34.78342025281852,-80.7761579788369,-14.540004223670817,True
ALB,prior,mean_pct,0.22792452724189616,-0.4201175714783537,0.45522948229509874,True
ALB,prior,volatility_pct,3.6865471655107047,0.2123767568645578,3.757111558008844,True
ALB,prior,q01_pct,-8.612172417342663,-9.347358394033476,-0.45114083776124775,True
ALB,prior,q99_pct,8.153515011072157,0.48219812078311164,9.325640916818948,True
ALB,prior,max_drawdown_pct,-47.38481184311733,-70.82048943965566,-1.2993932549424958,True
ALB,posterior,mean_pct,0.22792452724189616,-0.38601553502066566,0.5234866830325821,True
