target,window_start,as_of,horizon_days,var_95_pct,var_95_posterior_q05_pct,var_95_posterior_q95_pct,historical_var_95_pct,expected_shortfall_95_pct,es_95_posterior_q05_pct,es_95_posterior_q95_pct,historical_es_95_pct,predictive_return_median_pct,realized_forward_return_pct
GLD,2015-07-07,2016-07-11,20,7.902210354804992,5.751749083399773,10.248285189270971,7.13848551374527,9.97057429049164,7.21463993191719,12.139680385589598,8.008815088623544,-0.32505691051483154,-1.4308847867540608
TLT,2015-07-07,2016-07-11,20,4.4395387172698975,2.180217534303665,5.8725733160972595,3.0386226816930506,6.283031632968535,3.8411660194396973,7.818621516227721,3.8223538480828636,2.046138048171997,-2.6890047607278533
EW,2015-07-07,2016-07-11,20,2.767293155193329,1.5138275772333145,3.701183274388313,2.8316192263188245,3.8076767969566085,2.3547056019306183,4.837293714284897,3.282234026928474,0.9027242660522461,-0.6414069365120456
VOO,2015-08-05,2016-08-09,20,7.192546129226685,4.93695704638958,9.2861014008522,6.490650923599361,10.33562794860959,6.921640783548355,13.426818937063217,7.887867234755354,0.905078649520874,0.3946013336980636
GLD,2015-08-05,2016-08-09,20,7.263658344745635,4.7087562084198,9.02788856625557,6.948396244335483,9.320334380026907,6.19330769777298,11.04919120669365,8.008815088623544,0.2984046936035156,0.2422672633685563
TLT,2015-08-05,2016-08-09,20,5.110302567481995,2.9681213945150375,6.425452172756195,3.077230175047432,6.847963439455877,4.2558735609054565,8.526079654693604,3.8792220826601054,1.2942254543304443,0.1244950101544573
EW,2015-08-05,2016-08-09,20,2.8625258803367615,1.724019318819046,3.766739815473556,2.8316192263188245,3.930513362865895,2.3429408371448517,4.936962962150574,3.282234026928474,0.9036481380462646,0.269528039956235
VOO,2015-09-03,2016-09-08,20,6.145406365394592,4.123382866382599,8.026782080531119,5.905738585938449,9.010132266363751,6.195805877447128,11.265113264322272,7.501083710909164,0.8989393711090088,-0.7202841171054075
GLD,2015-09-03,2016-09-08,20,7.813617289066315,5.587876155972481,9.50458724796772,6.948396244335483,9.903456224128604,7.193203210830688,11.630803287029263,8.008815088623544,-0.2979665994644165,-6.215215066532731
TLT,2015-09-03,2016-09-08,20,5.162455439567566,3.3796849101781845,6.692242607474326,2.6938718630914993,6.805929875311752,4.66730135679245,8.466127693653107,3.480008949900403,1.0049223899841309,-2.6991860557060376
EW,2015-09-03,2016-09-08,20,3.1067809462547302,2.0044952780008316,4.093098938465118,2.4708704140932065,4.209932467589775,2.829623371362686,5.253823101520537,3.152688304802098,0.5873322486877441,-3.209623715445775
VOO,2015-10-05,2016-10-07,20,5.990145206451416,3.6200160533189774,7.772514879703519,5.905738585938449,8.619440319792677,5.638993859291077,10.63215073943138,7.501083710909164,0.8738219738006592,-3.028507179137774
GLD,2015-10-05,2016-10-07,20,8.120703101158142,5.535019218921661,9.929696291685103,6.948396244335483,10.363101881618302,7.330125331878662,11.940583109855648,8.008815088623544,-0.4780977964401245,3.8834154074141036
TLT,2015-10-05,2016-10-07,20,5.308188498020172,3.3456512987613682,7.063300237059591,3.070977101241319,6.970978116927047,4.791681081056595,8.741442114114761,3.6980573247301085,0.697934627532959,-1.4401070233223234
EW,2015-10-05,2016-10-07,20,3.3294102549552917,2.096630781888962,4.201556429266927,2.8007386994790084,4.42674255464226,3.0642240047454834,5.378808319568632,3.314978732199001,0.4199028015136719,-0.22318974902679756
VOO,2015-11-03,2016-11-07,20,6.459561288356781,4.480954006314278,8.078737691044807,5.905738585938449,9.353134618140757,6.19472998380661,11.9036131799221,7.501083710909164,0.4001915454864502,4.0576478540673255
GLD,2015-11-03,2016-11-07,20,7.668503820896149,5.471665784716606,9.468478441238403,5.344475993272124,9.971525357104838,7.44829860329628,11.74987882375717,5.791993886605331,0.012278556823730469,-8.776095854924648
TLT,2015-11-03,2016-11-07,20,5.361694693565369,3.270395889878273,6.71454755961895,3.1938247102682378,7.0029709953814745,4.734388113021851,8.47032433748245,4.0369245892607175,0.733482837677002,-8.420111793054453
EW,2015-11-03,2016-11-07,20,3.3808061480522156,2.4424989372491837,4.119111910462379,2.575033467550629,4.549760313238949,3.22987100481987,5.412308841943741,3.1193788454747224,0.44185519218444824,-4.50997843699148
VOO,2015-12-03,2016-12-07,20,5.702303647994995,3.6060039848089214,7.204646110534666,5.905738585938449,8.429209057552118,5.732502818107605,10.695943623781199,7.501083710909164,0.9602069854736328,1.8013238057420944
GLD,2015-12-03,2016-12-07,20,7.700674831867219,5.104419484734535,9.479388788342474,6.0538611871385895,9.995855162075411,7.087303757667541,12.112871766090393,7.924110116669062,-0.05889236927032471,-0.07153879079383474
TLT,2015-12-03,2016-12-07,20,5.943417847156525,3.9919729679822926,7.407537147402763,7.904850024508016,7.599351035120587,5.32770773768425,9.145768731832504,8.644497649926809,0.3690659999847412,0.6448468840513311
EW,2015-12-03,2016-12-07,20,3.392840325832367,2.2209120988845825,4.242955207824705,3.4475344439477267,4.549747573522231,3.108934372663498,5.467771738767623,4.054870355465147,0.4617154598236084,0.8118453292284444
VOO,2016-01-05,2017-01-09,20,4.972425699234009,3.176385745406151,6.450086846947668,2.726374458558134,7.283526154545446,4.993450969457626,9.039610445499417,3.7528424027437635,1.0271668434143066,1.1060517901734235
GLD,2016-01-05,2017-01-09,20,7.086328864097595,4.84852834045887,9.035154342651367,6.951211431581597,9.367529947000246,6.768372267484664,11.329010337591171,8.413903322634093,0.3528475761413574,4.251354391916218
TLT,2016-01-05,2017-01-09,20,5.36425918340683,3.404715269804001,6.8267015367746335,7.904850024508016,7.010022729324798,4.9085201025009155,8.555763751268383,8.644497649926809,0.6976783275604248,-0.7956651550618643
EW,2016-01-05,2017-01-09,20,3.00430029630661,1.9388398826122284,3.98308365046978,3.4475344439477267,4.113528008262316,2.843629866838455,5.145944267511367,4.054870355465147,0.7376313209533691,1.521507140715861
VOO,2016-02-04,2017-02-08,20,3.93730491399765,2.2938421070575714,5.515865460038184,2.063023263647825,5.692975005755821,3.7564420402050014,7.478587746620169,2.771788358160927,1.20849609375,3.2728683173891104
GLD,2016-02-04,2017-02-08,20,6.917175352573395,4.387385368347168,8.670485422015188,6.951211431581597,9.197099697000038,6.064090967178345,11.181811094284056,8.413903322634093,0.5325794219970703,-3.1474753734329397
TLT,2016-02-04,2017-02-08,20,5.547126531600952,3.661598935723305,6.942278027534483,7.904850024508016,7.171543093863875,4.861502289772034,8.927786707878113,8.644497649926809,0.6196141242980957,-4.233497540667619
